,Unnamed: 0,id,tag,csn,Choicesituation,Scenario,Block,CS,Choice_,ASCsq,ROAD,DIST,FREQ,PARK,RECRE,PRICE,Abgeschlossen,LetzteSeite,Datumgestartet,DatumletzteAktivitt,AGE,STAY,WasistIhrePostleitzahl,Beruf_Sonst,WasstudierenSie,WasstudierenSieSonstiges,WieweitistdienchsteHaltest,WennjawievielwrdenSieeinm,GEN,PROF,MODE,MODEFR,COMMODE,INCOME,SindSiegrundstzlichbereitf,WrenSiebereitsichfrdasP,WelcheParteihabenSiebeider,CHILD,RES,OWNB,OWNC,_merge,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
0,0,3,1,1,5,1,4,Konzept A,1,0,2,3,1,1,1,5,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1,1,3,0,1,5,2,4,Konzept A,0,0,1,2,1,3,1,5,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
2,2,3,0,1,5,3,4,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,3,3,0,2,10,1,4,Konzept B,0,0,1,1,1,1,3,3,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,4,3,0,2,10,2,4,Konzept B,1,0,2,2,2,3,2,1,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
5,5,3,0,2,10,3,4,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6,3,0,3,11,1,4,Konzept A,1,0,3,1,2,3,1,5,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
7,7,3,0,3,11,2,4,Konzept A,0,0,2,3,2,3,1,3,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
8,8,3,0,3,11,3,4,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,9,3,0,4,17,1,4,Konzept A,1,0,1,2,2,3,3,4,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
